section,quantity_or_condition,item,supplier_urls,guide_details,actual_order_quantity,actual_cost_usd,ordered_date,received_date,fit_verified,notes
Optional perception and interaction,1,STEMMA-QT/Qwiic 4-pin cable,https://www.adafruit.com/product/4210,[Adafruit 100 mm cable](https://www.adafruit.com/product/4210) | For the optional ToF board if its supplied cable does not fit. The HAT headers are 1 mm JST-SH.,,,,,,
"Fasteners, printed inserts, and consumables",60,M2 × 4 socket-head cap screws,https://www.mcmaster.com/products/m2-screws/,[McMaster M2 screws](https://www.mcmaster.com/products/m2-screws/),,,,,,
"Fasteners, printed inserts, and consumables",80,M2 × 6 socket-head cap screws,https://www.mcmaster.com/products/m2-screws/,[McMaster M2 screws](https://www.mcmaster.com/products/m2-screws/),,,,,,
"Fasteners, printed inserts, and consumables",40,M2 × 8 socket-head cap screws,https://www.mcmaster.com/products/m2-screws/,[McMaster M2 screws](https://www.mcmaster.com/products/m2-screws/),,,,,,
"Fasteners, printed inserts, and consumables",15,M2 × 12 socket-head cap screws,https://www.mcmaster.com/products/m2-screws/,[McMaster M2 screws](https://www.mcmaster.com/products/m2-screws/),,,,,,
"Fasteners, printed inserts, and consumables",50,M2 nuts,https://www.mcmaster.com/products/metric-nuts/,[McMaster metric nuts](https://www.mcmaster.com/products/metric-nuts/),,,,,,
"Fasteners, printed inserts, and consumables",0 initially; up to 60 only with redesigned pockets,M2 heat-set inserts,https://www.mcmaster.com/products/heat-set-inserts/ ; https://www.amazon.com/s?k=M2+heat+set+inserts+3D+printing,[McMaster heat-set inserts](https://www.mcmaster.com/products/heat-set-inserts/) · [Amazon M2 insert search](https://www.amazon.com/s?k=M2+heat+set+inserts+3D+printing),,,,,,
"Fasteners, printed inserts, and consumables",20,M2.5 × 6 socket-head cap screws,https://www.mcmaster.com/products/m2.5-screws/,[McMaster M2.5 screws](https://www.mcmaster.com/products/m2.5-screws/),,,,,,
"Fasteners, printed inserts, and consumables",1 if installing inserts,Insert-installation tip matching M2 insert and your iron,https://www.amazon.com/s?k=heat+set+insert+soldering+tip+M2,[Amazon insert tip search](https://www.amazon.com/s?k=heat+set+insert+soldering+tip+M2),,,,,,
"Fasteners, printed inserts, and consumables",0 for outsourced printing,Filament,,"The print service supplies its material. You do not need to purchase filament, resin, a printer or printer accessories.",,,,,,
"Fasteners, printed inserts, and consumables",1 if specified at a metal joint,Removable threadlocker,https://www.mcmaster.com/products/threadlocker/,[McMaster threadlocker](https://www.mcmaster.com/products/threadlocker/) — only where the fastener/material instructions permit; keep unsuitable threadlocker away from plastic.,,,,,,
Custom IMU bridge component leads,1,"STM32G031F8P6, TSSOP-20 MCU",https://www.digikey.com/en/products/result?keywords=STM32G031F8P6 ; https://www.mouser.com/c/?q=STM32G031F8P6,[Digi-Key](https://www.digikey.com/en/products/result?keywords=STM32G031F8P6) · [Mouser](https://www.mouser.com/c/?q=STM32G031F8P6),,,,,,
Custom IMU bridge component leads,1,"LSM6DSV16XTR, LGA-14 IMU",https://www.digikey.com/en/products/result?keywords=LSM6DSV16XTR ; https://www.mouser.com/c/?q=LSM6DSV16XTR,[Digi-Key](https://www.digikey.com/en/products/result?keywords=LSM6DSV16XTR) · [Mouser](https://www.mouser.com/c/?q=LSM6DSV16XTR),,,,,,
Custom IMU bridge component leads,1,"SN74LVC2G241, tri-state buffer",https://www.digikey.com/en/products/result?keywords=SN74LVC2G241 ; https://www.mouser.com/c/?q=SN74LVC2G241,[Digi-Key](https://www.digikey.com/en/products/result?keywords=SN74LVC2G241) · [Mouser](https://www.mouser.com/c/?q=SN74LVC2G241),,,,,,
Custom IMU bridge component leads,1,HT7533-1 or another regulator rated above the fully charged battery,https://www.digikey.com/en/products/result?keywords=HT7533-1,[Digi-Key search](https://www.digikey.com/en/products/result?keywords=HT7533-1),,,,,,
Custom IMU bridge component leads,2,"JST-EH 3-pin board connectors, B3B-EH-A",https://www.digikey.com/en/products/result?keywords=B3B-EH-A,[Digi-Key C160259 search](https://www.digikey.com/en/products/result?keywords=B3B-EH-A),,,,,,
Custom IMU bridge component leads,1,SWD header and 3.3 V programming lead,https://www.amazon.com/s?k=SWD+2.54mm+header,[Amazon SWD header search](https://www.amazon.com/s?k=SWD+2.54mm+header),,,,,,
Custom IMU bridge component leads,as specified,"100 nF / 10 µF capacitors, 10 kΩ resistors, PCB",https://www.digikey.com/en/products/filter/ceramic-capacitors/60 ; https://jlcpcb.com/pcb-assembly,[Digi-Key passives](https://www.digikey.com/en/products/filter/ceramic-capacitors/60) · [JLCPCB assembly](https://jlcpcb.com/pcb-assembly),,,,,,
A safe bring-up bench,1,Adjustable current-limited bench supply,https://www.amazon.com/s?k=bench+power+supply+30V+5A+current+limiting,[US retailer search](https://www.amazon.com/s?k=bench+power+supply+30V+5A+current+limiting) — DC voltage/current display and adjustable current limit,,,,,,
A safe bring-up bench,1,Multimeter with continuity and DC voltage,https://www.amazon.com/s?k=digital+multimeter+continuity+DC+voltage,[US retailer search](https://www.amazon.com/s?k=digital+multimeter+continuity+DC+voltage),,,,,,
A safe bring-up bench,1 set,Small Phillips drivers and 1.5 / 2 mm hex drivers,https://www.amazon.com/s?k=precision+Phillips+hex+1.5mm+2mm+screwdriver+set,[US retailer search](https://www.amazon.com/s?k=precision+Phillips+hex+1.5mm+2mm+screwdriver+set) — match actual screw heads,,,,,,
A safe bring-up bench,1,Digital caliper,https://www.amazon.com/s?k=digital+caliper+metric,"[US retailer search](https://www.amazon.com/s?k=digital+caliper+metric) — measure bearings, printed holes and enclosure clearances",,,,,,
A safe bring-up bench,1,Scale with 0.1 g resolution,https://www.amazon.com/s?k=scale+0.1g+500g,[US retailer search](https://www.amazon.com/s?k=scale+0.1g+500g) — compare assembled body masses with the reference,,,,,,
A safe bring-up bench,1 set,"Flush cutters, wire stripper and fine pliers",https://www.amazon.com/s?k=electronics+flush+cutter+wire+stripper+pliers,[US retailer search](https://www.amazon.com/s?k=electronics+flush+cutter+wire+stripper+pliers),,,,,,
A safe bring-up bench,1 set,"Small files, pin vise and metric drill bits",https://www.amazon.com/s?k=pin+vise+metric+drill+bits+1.6+2.2,"[US retailer search](https://www.amazon.com/s?k=pin+vise+metric+drill+bits+1.6+2.2) — controlled fit work, not arbitrary enlargement of bearing seats",,,,,,
A safe bring-up bench,1 station,"Temperature-controlled soldering iron, stand and fume extraction",https://www.amazon.com/s?k=soldering+station+fume+extractor,[US retailer search](https://www.amazon.com/s?k=soldering+station+fume+extractor) — for wiring/header work; order the fine-pitch boards assembled,,,,,,
A safe bring-up bench,1 set,"Electronics solder, flux and desoldering braid",https://www.amazon.com/s?k=electronics+solder+flux+desoldering+braid,[US retailer search](https://www.amazon.com/s?k=electronics+solder+flux+desoldering+braid),,,,,,
A safe bring-up bench,1 set,"Heat shrink, cable ties and labels",https://www.amazon.com/s?k=heat+shrink+small+cable+ties+wire+labels,[US retailer search](https://www.amazon.com/s?k=heat+shrink+small+cable+ties+wire+labels),,,,,,
A safe bring-up bench,1 set after routing,"Silicone wire, rated connector pair and fused bench leads",https://www.amazon.com/s?k=silicone+wire+red+black+16+20+AWG ; https://www.amazon.com/s?k=XT30+connector+pigtail ; https://www.amazon.com/s?k=fused+bench+power+supply+test+leads,[wire search](https://www.amazon.com/s?k=silicone+wire+red+black+16+20+AWG) · [connector search](https://www.amazon.com/s?k=XT30+connector+pigtail) · [lead search](https://www.amazon.com/s?k=fused+bench+power+supply+test+leads) — gauge and connector rating come from measured current and routing,,,,,,
A safe bring-up bench,"1, if needed",3.3 V logic USB serial console cable,https://www.adafruit.com/product/954,[Adafruit 954](https://www.adafruit.com/product/954) — checked $9.95; use signal/ground per board pinout and leave its power lead disconnected when separately powering the board,,,,,,
A safe bring-up bench,"1, if developing bridge firmware",ST-Link SWD programmer,https://www.digikey.com/en/products?keywords=STLINK-V3MINIE,[Digi-Key STLINK-V3MINIE search](https://www.digikey.com/en/products?keywords=STLINK-V3MINIE) — engineer must match SWD pinout/voltage and chosen MCU,,,,,,
A safe bring-up bench,1 set,USB data cable and board setup power adapter,https://www.amazon.com/s?k=USB+C+data+cable ; https://www.amazon.com/s?k=5V+3A+USB+C+power+supply,[USB data cable search](https://www.amazon.com/s?k=USB+C+data+cable) · [5 V USB supply search](https://www.amazon.com/s?k=5V+3A+USB+C+power+supply) — match actual Radxa/U2D2 revision; a charger-only cable cannot flash or enumerate devices,,,,,,
A safe bring-up bench,"1, optional recovery medium",32 GB microSD and USB reader,https://www.amazon.com/s?k=32GB+microSD+USB+reader,[US retailer search](https://www.amazon.com/s?k=32GB+microSD+USB+reader) — not extra onboard storage when eMMC is used,,,,,,
A safe bring-up bench,as fitted,"Board header, insulating spacers/standoffs, screws",https://www.amazon.com/s?k=2x20+2.54mm+male+header ; https://www.amazon.com/s?k=M2.5+nylon+spacer+standoff,[2×20 header search](https://www.amazon.com/s?k=2x20+2.54mm+male+header) · [M2.5 spacer search](https://www.amazon.com/s?k=M2.5+nylon+spacer+standoff) — check supplied headers and real HAT stacking height before ordering,,,,,,
A safe bring-up bench,1 set,"Eye protection, battery charging/storage bag, nonflammable charging surface",https://www.amazon.com/s?k=ANSI+Z87+safety+glasses ; https://www.amazon.com/s?k=lithium+battery+charging+bag,[eye protection](https://www.amazon.com/s?k=ANSI+Z87+safety+glasses) · [battery bag](https://www.amazon.com/s?k=lithium+battery+charging+bag) — follow battery/charger instructions; a bag does not make unattended charging safe,,,,,,
A safe bring-up bench,1 fixture,Padded support/tether and soft test mat,https://www.amazon.com/s?k=bench+clamp+robot+support ; https://www.amazon.com/s?k=foam+exercise+mat,[clamp/support search](https://www.amazon.com/s?k=bench+clamp+robot+support) · [mat search](https://www.amazon.com/s?k=foam+exercise+mat) — builder must make a fixture that supports the robot when torque disappears,,,,,,
A safe bring-up bench,1 if using padd,Linux-compatible USB/Bluetooth gamepad,https://www.amazon.com/s?k=Linux+compatible+USB+gamepad,[US retailer search](https://www.amazon.com/s?k=Linux+compatible+USB+gamepad) — verify the upstream mapping before first powered movement,,,,,,
